school_name,School ID,Type,Programmes,Suburb,Actively Working In,latitude,longitude,Google Maps,Total Children,Total Youth,Total Sessions
Aaron Gqadu,276,Primary,"Literacy,Zazi Izandi,1000 Stories",Kwazakhele,checked,-33.866501,25.5855385,"https://www.google.com/maps?q=-33.86650101804531,25.585538502261464",102,6,2815
Abraham Levy,144,Primary,Zazi Izandi,Schauderville,checked,-33.932858,25.56468424,"https://www.google.com/maps?q=-33.9328575407312,25.564684239678407",71,0,0
Adolph Schauder,123,Primary,Zazi Izandi,Schauderville,checked,-33.93174,25.56131061,"https://www.google.com/maps?q=-33.93174022285777,25.561310610842995",182,0,0
Alex Jayiya,109,Primary,Zazi Izandi,KwaNobuhle,checked,-33.804988,25.39323752,"https://www.google.com/maps?q=-33.80498806366577,25.39323752248251",15,0,0
Alexander,324,High School,Top Learners High School,Newton Park,checked,-33.941706,25.57280346,"https://www.google.com/maps?q=-33.94170625991824,25.57280346481949",5,0,0
Alpha,115,Primary,Zazi Izandi,Galvandale,checked,-33.912363,25.54753364,"https://www.google.com/maps?q=-33.912362894149595,25.54753363967728",53,0,0
Amanzi,165,Primary,Zazi Izandi,Amanzi Estate Farm,checked,,,,14,0,0
Arcadia,146,Primary,Zazi Izandi,Arcadia,checked,-33.881186,25.52313216,"https://www.google.com/maps?q=-33.881186083742975,25.52313216481606",168,0,0
Arise and Shine,256,ECD,1000 Stories,Motherwell,checked,-33.804378,25.60580724,"https://www.google.com/maps?q=-33.80437810796366,25.60580723809042",16,0,137
Ashton Gontshi,127,Primary,Zazi Izandi,KwaNobuhle,checked,-33.808362,25.38886013,"https://www.google.com/maps?q=-33.80836185397413,25.38886012617755",50,0,0
Astra,278,Primary,"Literacy,Zazi Izandi,1000 Stories,YearBeyond",Bethelsdorp,checked,-33.867854,25.49525803,"https://www.google.com/maps?q=-33.86785425541227,25.49525802554974",295,9,4137
Baby Daycare,218,ECD,Numeracy,Motherwell,checked,-33.783849,25.58979339,"https://www.google.com/maps?q=-33.78384855371517,25.58979338844639",42,0,402
Bambino,298,ECD,Literacy,Clarkson,checked,-34.011901,24.34647901,"https://www.google.com/maps?q=-34.011900712874024,24.34647900963787",17,2,1308
Bavumeleni,53,ECD,Zazi Izandi,Motherwell,,-33.807776,25.59114572,"https://www.google.com/maps?q=-33.80777610353109,25.591145717499714",36,2,161
Ben Nyati,203,Primary,YearBeyond,Kwazakhele,checked,-33.881926,25.58863118,"https://www.google.com/maps?q=-33.88192649885194,25.588631181373636",102,0,0
Ben Sinuka,289,Primary,"Literacy,1000 Stories",New Brighton,checked,-33.892277,25.60263263,"https://www.google.com/maps?q=-33.892276994066776,25.602632631083768",30,4,1014
Bethelsdorp,87,Primary,"Zazi Izandi,YearBeyond",Korsten,checked,-33.86787,25.51287296,"https://www.google.com/maps?q=-33.867870478015405,25.512872958174313",133,0,12
Bethvale,72,Primary,"Zazi Izandi,YearBeyond",Bethelsdorp,checked,-33.877126,25.50194034,"https://www.google.com/maps?q=-33.877126279731684,25.501940339675247",310,0,8
BJ Mnyanda,57,Primary,Zazi Izandi,Kwazakhele,checked,-33.888347,25.58640198,"https://www.google.com/maps?q=-33.888347,25.58640198",77,0,0
Boet Jegels,159,Primary,Zazi Izandi,Booysen Park,checked,,,,90,0,0
Bright Angels,299,ECD,Literacy,Motherwell,checked,-33.803449,25.57836548,"https://www.google.com/maps?q=-33.80344859167251,25.578365483217258",24,2,1671
